,POSTO,MUNICÍPIO,ESTADO,COMBUSTÍVEL,BANDEIRA,PREÇO VENDA,REGIÃO
448,2,CARAGUATATUBA,SÃO PAULO,DIESEL S10,NACIONAL,6.694000000000001,INTERIOR
449,3,CARAGUATATUBA,SÃO PAULO,DIESEL S10,NACIONAL,6.699000000000001,INTERIOR
451,5,CARAGUATATUBA,SÃO PAULO,DIESEL S10,NACIONAL,6.898000000000001,INTERIOR
452,6,CARAGUATATUBA,SÃO PAULO,DIESEL S10,NACIONAL,6.899000000000001,INTERIOR
453,7,CARAGUATATUBA,SÃO PAULO,DIESEL S10,NACIONAL,6.899000000000001,INTERIOR
455,9,CARAGUATATUBA,SÃO PAULO,DIESEL S10,NACIONAL,6.899000000000001,INTERIOR
457,2,MARILIA,SÃO PAULO,DIESEL S10,NACIONAL,6.378000000000001,INTERIOR
465,10,MARILIA,SÃO PAULO,DIESEL S10,NACIONAL,6.979000000000001,INTERIOR
466,11,MARILIA,SÃO PAULO,DIESEL S10,NACIONAL,6.979000000000001,INTERIOR
472,6,CACAPAVA,SÃO PAULO,DIESEL S10,NACIONAL,6.89,INTERIOR
473,7,CACAPAVA,SÃO PAULO,DIESEL S10,NACIONAL,6.89,INTERIOR
475,2,ITAQUAQUECETUBA,SÃO PAULO,DIESEL S10,NACIONAL,6.497000000000001,METRÓPOLE
477,4,ITAQUAQUECETUBA,SÃO PAULO,DIESEL S10,NACIONAL,6.4990000000000006,METRÓPOLE
479,6,ITAQUAQUECETUBA,SÃO PAULO,DIESEL S10,NACIONAL,6.597,METRÓPOLE
480,7,ITAQUAQUECETUBA,SÃO PAULO,DIESEL S10,NACIONAL,6.597,METRÓPOLE
484,4,ARARAS,SÃO PAULO,DIESEL S10,NACIONAL,6.585,INTERIOR
485,5,ARARAS,SÃO PAULO,DIESEL S10,NACIONAL,6.597,INTERIOR
488,8,ARARAS,SÃO PAULO,DIESEL S10,NACIONAL,6.599000000000001,INTERIOR
489,9,ARARAS,SÃO PAULO,DIESEL S10,NACIONAL,6.799000000000001,INTERIOR
490,1,MOGI DAS CRUZES,SÃO PAULO,DIESEL S10,NACIONAL,6.379000000000001,METRÓPOLE
491,2,MOGI DAS CRUZES,SÃO PAULO,DIESEL S10,NACIONAL,6.549000000000001,METRÓPOLE
496,7,MOGI DAS CRUZES,SÃO PAULO,DIESEL S10,NACIONAL,6.65,METRÓPOLE
498,9,MOGI DAS CRUZES,SÃO PAULO,DIESEL S10,NACIONAL,6.699000000000001,METRÓPOLE
504,5,GARCA,SÃO PAULO,DIESEL S10,NACIONAL,6.89,INTERIOR
506,1,ITU,SÃO PAULO,DIESEL S10,NACIONAL,6.28,INTERIOR
508,3,ITU,SÃO PAULO,DIESEL S10,NACIONAL,6.39,INTERIOR
510,5,ITU,SÃO PAULO,DIESEL S10,NACIONAL,6.399000000000001,INTERIOR
514,9,ITU,SÃO PAULO,DIESEL S10,NACIONAL,6.4990000000000006,INTERIOR
519,2,GUARUJA,SÃO PAULO,DIESEL S10,NACIONAL,6.58,INTERIOR
521,4,GUARUJA,SÃO PAULO,DIESEL S10,NACIONAL,6.799000000000001,INTERIOR
524,7,GUARUJA,SÃO PAULO,DIESEL S10,NACIONAL,6.868,INTERIOR
526,9,GUARUJA,SÃO PAULO,DIESEL S10,NACIONAL,6.9990000000000006,INTERIOR
527,10,GUARUJA,SÃO PAULO,DIESEL S10,NACIONAL,7.299000000000001,INTERIOR
532,5,BEBEDOURO,SÃO PAULO,DIESEL S10,NACIONAL,6.59,INTERIOR
533,6,BEBEDOURO,SÃO PAULO,DIESEL S10,NACIONAL,6.65,INTERIOR
539,5,LEME,SÃO PAULO,DIESEL S10,NACIONAL,6.398000000000001,INTERIOR
541,7,LEME,SÃO PAULO,DIESEL S10,NACIONAL,6.578,INTERIOR
544,10,LEME,SÃO PAULO,DIESEL S10,NACIONAL,6.6,INTERIOR
546,12,LEME,SÃO PAULO,DIESEL S10,NACIONAL,6.699000000000001,INTERIOR
552,5,GUARULHOS,SÃO PAULO,DIESEL S10,NACIONAL,6.399000000000001,INTERIOR
556,9,GUARULHOS,SÃO PAULO,DIESEL S10,NACIONAL,6.399000000000001,INTERIOR
559,12,GUARULHOS,SÃO PAULO,DIESEL S10,NACIONAL,6.579000000000001,INTERIOR
561,14,GUARULHOS,SÃO PAULO,DIESEL S10,NACIONAL,6.599000000000001,INTERIOR
565,18,GUARULHOS,SÃO PAULO,DIESEL S10,NACIONAL,6.7490000000000006,INTERIOR
566,19,GUARULHOS,SÃO PAULO,DIESEL S10,NACIONAL,6.7490000000000006,INTERIOR
567,20,GUARULHOS,SÃO PAULO,DIESEL S10,NACIONAL,6.9990000000000006,INTERIOR
570,3,BIRIGUI,SÃO PAULO,DIESEL S10,NACIONAL,6.5,INTERIOR
571,4,BIRIGUI,SÃO PAULO,DIESEL S10,NACIONAL,6.69,INTERIOR
574,7,BIRIGUI,SÃO PAULO,DIESEL S10,NACIONAL,6.99,INTERIOR
