POSTO,MUNICÍPIO,ESTADO,COMBUSTÍVEL,BANDEIRA,PREÇO VENDA,REGIÃO
3,COSMOPOLIS,SÃO PAULO,DIESEL S10,NACIONAL,6.599000000000001,INTERIOR
4,COSMOPOLIS,SÃO PAULO,DIESEL S10,OUTRO,6.899000000000001,INTERIOR
1,INDAIATUBA,SÃO PAULO,DIESEL S10,NACIONAL,6.24,INTERIOR
2,INDAIATUBA,SÃO PAULO,DIESEL S10,OUTRO,6.289000000000001,INTERIOR
3,INDAIATUBA,SÃO PAULO,DIESEL S10,OUTRO,6.399000000000001,INTERIOR
4,INDAIATUBA,SÃO PAULO,DIESEL S10,NACIONAL,6.59,INTERIOR
5,INDAIATUBA,SÃO PAULO,DIESEL S10,NACIONAL,6.59,INTERIOR
6,INDAIATUBA,SÃO PAULO,DIESEL S10,OUTRO,6.59,INTERIOR
7,INDAIATUBA,SÃO PAULO,DIESEL S10,OUTRO,6.597,INTERIOR
8,INDAIATUBA,SÃO PAULO,DIESEL S10,OUTRO,6.599000000000001,INTERIOR
9,INDAIATUBA,SÃO PAULO,DIESEL S10,NACIONAL,6.69,INTERIOR
10,INDAIATUBA,SÃO PAULO,DIESEL S10,OUTRO,6.697,INTERIOR
11,INDAIATUBA,SÃO PAULO,DIESEL S10,OUTRO,6.699000000000001,INTERIOR
12,INDAIATUBA,SÃO PAULO,DIESEL S10,NACIONAL,6.729000000000001,INTERIOR
1,ARARAQUARA,SÃO PAULO,DIESEL S10,OUTRO,6.399000000000001,INTERIOR
2,ARARAQUARA,SÃO PAULO,DIESEL S10,OUTRO,6.49,INTERIOR
3,ARARAQUARA,SÃO PAULO,DIESEL S10,OUTRO,6.4990000000000006,INTERIOR
4,ARARAQUARA,SÃO PAULO,DIESEL S10,OUTRO,6.597,INTERIOR
5,ARARAQUARA,SÃO PAULO,DIESEL S10,OUTRO,6.63,INTERIOR
6,ARARAQUARA,SÃO PAULO,DIESEL S10,NACIONAL,6.69,INTERIOR
7,ARARAQUARA,SÃO PAULO,DIESEL S10,NACIONAL,6.699000000000001,INTERIOR
8,ARARAQUARA,SÃO PAULO,DIESEL S10,OUTRO,6.699000000000001,INTERIOR
9,ARARAQUARA,SÃO PAULO,DIESEL S10,OUTRO,6.74,INTERIOR
10,ARARAQUARA,SÃO PAULO,DIESEL S10,OUTRO,6.77,INTERIOR
11,ARARAQUARA,SÃO PAULO,DIESEL S10,NACIONAL,6.79,INTERIOR
12,ARARAQUARA,SÃO PAULO,DIESEL S10,OUTRO,6.95,INTERIOR
13,ARARAQUARA,SÃO PAULO,DIESEL S10,NACIONAL,7.49,INTERIOR
1,ASSIS,SÃO PAULO,DIESEL S10,OUTRO,6.59,INTERIOR
2,ASSIS,SÃO PAULO,DIESEL S10,NACIONAL,6.599000000000001,INTERIOR
3,ASSIS,SÃO PAULO,DIESEL S10,NACIONAL,6.599000000000001,INTERIOR
4,ASSIS,SÃO PAULO,DIESEL S10,OUTRO,6.599000000000001,INTERIOR
5,ASSIS,SÃO PAULO,DIESEL S10,OUTRO,6.599000000000001,INTERIOR
6,ASSIS,SÃO PAULO,DIESEL S10,OUTRO,6.599000000000001,INTERIOR
7,ASSIS,SÃO PAULO,DIESEL S10,OUTRO,6.599000000000001,INTERIOR
8,ASSIS,SÃO PAULO,DIESEL S10,NACIONAL,6.7,INTERIOR
9,ASSIS,SÃO PAULO,DIESEL S10,NACIONAL,6.7,INTERIOR
10,ASSIS,SÃO PAULO,DIESEL S10,OUTRO,6.77,INTERIOR
11,ASSIS,SÃO PAULO,DIESEL S10,NACIONAL,6.799000000000001,INTERIOR
12,ASSIS,SÃO PAULO,DIESEL S10,NACIONAL,6.799000000000001,INTERIOR
13,ASSIS,SÃO PAULO,DIESEL S10,NACIONAL,6.799000000000001,INTERIOR
14,ASSIS,SÃO PAULO,DIESEL S10,OUTRO,6.899000000000001,INTERIOR
15,ASSIS,SÃO PAULO,DIESEL S10,NACIONAL,6.9990000000000006,INTERIOR
16,ASSIS,SÃO PAULO,DIESEL S10,OUTRO,6.9990000000000006,INTERIOR
17,ASSIS,SÃO PAULO,DIESEL S10,OUTRO,7.09,INTERIOR
1,AMPARO,SÃO PAULO,DIESEL S10,OUTRO,6.55,INTERIOR
2,AMPARO,SÃO PAULO,DIESEL S10,NACIONAL,6.55,INTERIOR
3,AMPARO,SÃO PAULO,DIESEL S10,OUTRO,6.55,INTERIOR
4,AMPARO,SÃO PAULO,DIESEL S10,NACIONAL,6.55,INTERIOR
5,AMPARO,SÃO PAULO,DIESEL S10,OUTRO,6.55,INTERIOR
6,AMPARO,SÃO PAULO,DIESEL S10,NACIONAL,6.59,INTERIOR
1,MOCOCA,SÃO PAULO,DIESEL S10,OUTRO,6.399000000000001,INTERIOR
2,MOCOCA,SÃO PAULO,DIESEL S10,OUTRO,6.399000000000001,INTERIOR
3,MOCOCA,SÃO PAULO,DIESEL S10,OUTRO,6.399000000000001,INTERIOR
4,MOCOCA,SÃO PAULO,DIESEL S10,OUTRO,6.399000000000001,INTERIOR
5,MOCOCA,SÃO PAULO,DIESEL S10,OUTRO,6.799000000000001,INTERIOR
6,MOCOCA,SÃO PAULO,DIESEL S10,OUTRO,6.799000000000001,INTERIOR
7,MOCOCA,SÃO PAULO,DIESEL S10,NACIONAL,6.899000000000001,INTERIOR
8,MOCOCA,SÃO PAULO,DIESEL S10,OUTRO,6.899000000000001,INTERIOR
9,MOCOCA,SÃO PAULO,DIESEL S10,NACIONAL,6.9990000000000006,INTERIOR
10,MOCOCA,SÃO PAULO,DIESEL S10,OUTRO,6.9990000000000006,INTERIOR
1,ADAMANTINA,SÃO PAULO,DIESEL S10,OUTRO,6.59,INTERIOR
2,ADAMANTINA,SÃO PAULO,DIESEL S10,NACIONAL,6.79,INTERIOR
1,ITAPOLIS,SÃO PAULO,DIESEL S10,OUTRO,6.399000000000001,INTERIOR
2,ITAPOLIS,SÃO PAULO,DIESEL S10,OUTRO,6.399000000000001,INTERIOR
3,ITAPOLIS,SÃO PAULO,DIESEL S10,NACIONAL,6.699000000000001,INTERIOR
4,ITAPOLIS,SÃO PAULO,DIESEL S10,OUTRO,6.799000000000001,INTERIOR
5,ITAPOLIS,SÃO PAULO,DIESEL S10,NACIONAL,6.849000000000001,INTERIOR
6,ITAPOLIS,SÃO PAULO,DIESEL S10,OUTRO,7.0,INTERIOR
1,ITAPIRA,SÃO PAULO,DIESEL S10,OUTRO,6.4990000000000006,INTERIOR
2,ITAPIRA,SÃO PAULO,DIESEL S10,NACIONAL,6.599000000000001,INTERIOR
3,ITAPIRA,SÃO PAULO,DIESEL S10,OUTRO,6.69,INTERIOR
4,ITAPIRA,SÃO PAULO,DIESEL S10,OUTRO,6.69,INTERIOR
5,ITAPIRA,SÃO PAULO,DIESEL S10,OUTRO,6.87,INTERIOR
1,HORTOLANDIA,SÃO PAULO,DIESEL S10,OUTRO,6.199000000000001,INTERIOR
2,HORTOLANDIA,SÃO PAULO,DIESEL S10,OUTRO,6.299000000000001,INTERIOR
3,HORTOLANDIA,SÃO PAULO,DIESEL S10,NACIONAL,6.299000000000001,INTERIOR
4,HORTOLANDIA,SÃO PAULO,DIESEL S10,OUTRO,6.299000000000001,INTERIOR
5,HORTOLANDIA,SÃO PAULO,DIESEL S10,OUTRO,6.299000000000001,INTERIOR
6,HORTOLANDIA,SÃO PAULO,DIESEL S10,NACIONAL,6.39,INTERIOR
7,HORTOLANDIA,SÃO PAULO,DIESEL S10,OUTRO,6.489000000000001,INTERIOR
8,HORTOLANDIA,SÃO PAULO,DIESEL S10,OUTRO,6.4990000000000006,INTERIOR
9,HORTOLANDIA,SÃO PAULO,DIESEL S10,NACIONAL,6.599000000000001,INTERIOR
10,HORTOLANDIA,SÃO PAULO,DIESEL S10,OUTRO,6.599000000000001,INTERIOR
11,HORTOLANDIA,SÃO PAULO,DIESEL S10,NACIONAL,6.699000000000001,INTERIOR
1,AMERICANA,SÃO PAULO,DIESEL S10,OUTRO,6.399000000000001,INTERIOR
2,AMERICANA,SÃO PAULO,DIESEL S10,NACIONAL,6.549000000000001,INTERIOR
3,AMERICANA,SÃO PAULO,DIESEL S10,OUTRO,6.549000000000001,INTERIOR
4,AMERICANA,SÃO PAULO,DIESEL S10,OUTRO,6.55,INTERIOR
5,AMERICANA,SÃO PAULO,DIESEL S10,NACIONAL,6.59,INTERIOR
6,AMERICANA,SÃO PAULO,DIESEL S10,NACIONAL,6.59,INTERIOR
7,AMERICANA,SÃO PAULO,DIESEL S10,NACIONAL,6.599000000000001,INTERIOR
8,AMERICANA,SÃO PAULO,DIESEL S10,OUTRO,6.599000000000001,INTERIOR
9,AMERICANA,SÃO PAULO,DIESEL S10,OUTRO,6.649000000000001,INTERIOR
10,AMERICANA,SÃO PAULO,DIESEL S10,NACIONAL,6.69,INTERIOR
1,DRACENA,SÃO PAULO,DIESEL S10,OUTRO,6.59,INTERIOR
2,DRACENA,SÃO PAULO,DIESEL S10,OUTRO,6.69,INTERIOR
3,DRACENA,SÃO PAULO,DIESEL S10,NACIONAL,6.69,INTERIOR
4,DRACENA,SÃO PAULO,DIESEL S10,OUTRO,6.78,INTERIOR
5,DRACENA,SÃO PAULO,DIESEL S10,OUTRO,6.89,INTERIOR
6,DRACENA,SÃO PAULO,DIESEL S10,OUTRO,6.89,INTERIOR
1,MATAO,SÃO PAULO,DIESEL S10,OUTRO,6.29,INTERIOR
2,MATAO,SÃO PAULO,DIESEL S10,OUTRO,6.45,INTERIOR
3,MATAO,SÃO PAULO,DIESEL S10,OUTRO,6.48,INTERIOR
4,MATAO,SÃO PAULO,DIESEL S10,OUTRO,6.59,INTERIOR
5,MATAO,SÃO PAULO,DIESEL S10,OUTRO,6.59,INTERIOR
6,MATAO,SÃO PAULO,DIESEL S10,OUTRO,6.79,INTERIOR
7,MATAO,SÃO PAULO,DIESEL S10,NACIONAL,6.79,INTERIOR
8,MATAO,SÃO PAULO,DIESEL S10,NACIONAL,6.799000000000001,INTERIOR
9,MATAO,SÃO PAULO,DIESEL S10,OUTRO,6.9,INTERIOR
10,MATAO,SÃO PAULO,DIESEL S10,OUTRO,6.9,INTERIOR
1,BAURU,SÃO PAULO,DIESEL S10,OUTRO,6.29,INTERIOR
2,BAURU,SÃO PAULO,DIESEL S10,NACIONAL,6.45,INTERIOR
3,BAURU,SÃO PAULO,DIESEL S10,NACIONAL,6.479000000000001,INTERIOR
4,BAURU,SÃO PAULO,DIESEL S10,NACIONAL,6.4990000000000006,INTERIOR
5,BAURU,SÃO PAULO,DIESEL S10,OUTRO,6.589000000000001,INTERIOR
