,POSTO,MUNICÍPIO,ESTADO,COMBUSTÍVEL,BANDEIRA,PREÇO VENDA,REGIÃO
284,2,ITU,SÃO PAULO,DIESEL,OUTRO,6.239000000000001,INTERIOR
285,3,ITU,SÃO PAULO,DIESEL,OUTRO,6.29,INTERIOR
287,5,ITU,SÃO PAULO,DIESEL,OUTRO,6.33,INTERIOR
288,6,ITU,SÃO PAULO,DIESEL,OUTRO,6.39,INTERIOR
291,2,GUARUJA,SÃO PAULO,DIESEL,OUTRO,6.649000000000001,INTERIOR
292,1,BEBEDOURO,SÃO PAULO,DIESEL,OUTRO,6.29,INTERIOR
293,2,BEBEDOURO,SÃO PAULO,DIESEL,OUTRO,6.35,INTERIOR
294,3,BEBEDOURO,SÃO PAULO,DIESEL,OUTRO,6.44,INTERIOR
295,4,BEBEDOURO,SÃO PAULO,DIESEL,OUTRO,6.599000000000001,INTERIOR
296,1,LEME,SÃO PAULO,DIESEL,OUTRO,6.02,INTERIOR
297,2,LEME,SÃO PAULO,DIESEL,OUTRO,6.09,INTERIOR
298,3,LEME,SÃO PAULO,DIESEL,OUTRO,6.098000000000001,INTERIOR
299,4,LEME,SÃO PAULO,DIESEL,OUTRO,6.14,INTERIOR
302,7,LEME,SÃO PAULO,DIESEL,OUTRO,6.39,INTERIOR
304,9,LEME,SÃO PAULO,DIESEL,OUTRO,6.49,INTERIOR
305,10,LEME,SÃO PAULO,DIESEL,OUTRO,6.4990000000000006,INTERIOR
306,1,GUARULHOS,SÃO PAULO,DIESEL,OUTRO,6.189000000000001,INTERIOR
307,2,GUARULHOS,SÃO PAULO,DIESEL,OUTRO,6.199000000000001,INTERIOR
308,3,GUARULHOS,SÃO PAULO,DIESEL,OUTRO,6.199000000000001,INTERIOR
309,4,GUARULHOS,SÃO PAULO,DIESEL,OUTRO,6.199000000000001,INTERIOR
311,6,GUARULHOS,SÃO PAULO,DIESEL,OUTRO,6.549000000000001,INTERIOR
313,2,BIRIGUI,SÃO PAULO,DIESEL,OUTRO,6.6,INTERIOR
314,3,BIRIGUI,SÃO PAULO,DIESEL,OUTRO,6.7,INTERIOR
315,4,BIRIGUI,SÃO PAULO,DIESEL,OUTRO,6.899000000000001,INTERIOR
